nid,title,further_content,conservation,distribution,habitat,photos,summary,what_is_it,what_to_look_for,why
1201,"Beaches and Shorelines","1703|1801","<p>Information about conservation for this Habitat.</p>","<p>Information about distribution for this Habitat.</p>",,101,"The shoreline or beach is the point at which the land meets the sea. They can consist of rocks, sand, gravel, shingles, pebbles or cobblestones and are often a mixture of these; the consistency can be sandy, muddy and/or stony and, again, is often a mix of these.","<p>The highest point the tide reaches is the strandline. Here the tides leave behind sediments such as seaweed, dead plants and animal and, unfortunately, litter. Several strandlines can occur on a beach due to changes in the height of the tides.</p><p>Strandlines provide the main input of energy to sandy shores and intertidal habitats. They are particularly important on exposed shores, where they can act as precursors to sand dunes. As seaweed breaks down it produces organic matter which provides nutrients for pioneering plants trying to establish themselves in exposed beach and sand dune areas. Without this initial impetus, sand dune formation is severely limited.</p>","<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua.</p>","<p>At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.</p>"
1202,Coastal Grazing Marsh,,,"<p>The precise extent of UK coastal and floodplain grazing marsh is unknown. The best estimate is 300,000 hectares, of which two thirds are found in England. However, only a small proportion of this grassland (an estimated 10,000 hectares in the UK) is semi-natural habitat which supports a high diversity of native plant species, for example along the banks of the River Thames or in the Arun Valley in West Sussex.</p>",,108|109,"Grazing marsh is defined as pasture that is regularly flooded, or meadow with ditches that maintain water levels.","<p>Seasonally water-filled hollows and permanent ponds with emergent plants dot the landscape and standing water may be brackish or fresh. Almost all of these marshes are grazed and some are cut for hay. Strictly speaking, relatively few of the UK’s coastal grazing marshes could ever be described as truly natural; most have been reclaimed from the sea by drainage and embankments.</p><p>These flooded fields are rich in wildlife with invertebrates swarming in the ditches, amphibians making their homes in the ponds, otters and water voles slinking in and out of the deeper waters, and wading birds making the most of the muddy margins for feeding on worms.</p>",,
1203,Chalk Streams,,"<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua.</p>","<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua.</p>",,102|103|104,"Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua.","<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua.</p>","<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua.</p>","<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua.</p>"
1204,"Wetlands and Rivers",,,,,111,,,,
1205,"Coastal",,,,,112,,,,
1206,"Farmland",,,,,102,,,,
1207,"Arable Field Margins",,,,1206,103,,,,
1208,"Hedgerows",,,,1206,104,,,,
1209,"Grassland",,,,,108,,,,
1210,"Calaminarian Grassland",,,,1209,109,,,,
1211,"Lowland Calcareous Grassland",,,,1209,110,,,,
1212,"Lowland Dry Acid Grassland",,,,1209,111,,,,
1213,"Lowland Dry Meadows",,,,1209,112,,,,
1214,"Machair",,,,1209,113,,,,
1215,"Purple Moor Grass and Rush Pasture",,,,1209,114,,,,
1216,"Upland Calcareous Grassland",,,,1209,115,,,,
