tid,name,weight
3601,a family day out,0
3602,insect spotting,1
3603,ancient trees,2
3604,birdwatching,3
3605,butterflies,4
3606,fungi,5
3607,geological interest,6
3608,getting away from it all,7
3609,historical interest,8
3610,lichens and mosses,9
3611,overwintering birds,10
3612,reptiles,11
3613,spring flowers,12
3614,spring migrant birds,13
3615,stunning views,14
3616,wildflowers,15
3617,wildlife after dark,16
3618,vigorous walks,17
3619,a romantic stroll,18
3620,bluebells,19
3621,blooming heather,20
3622,exploring woods,21
3623,beachcombing,22
3624,tranquil waters,23
3625,big skies,24
3626,autumn colour,25
3627,pushchair friendly,26
3628,wheelchair friendly,27
3629,drinks and food,28
3630,a sense of the wild,29
