tid,name,weight
3701,Appeals,0
3702,Campaigns,1
3703,Community projects,2
3704,Conservation,3
3705,Development,4
3706,Education and learning,5
3707,Events,6
3708,Families and children,7
3709,Farming,8
3710,Fundraising,9
3711,Gardening,10
3712,Grazing,11
3713,Habitats,12
3714,Health & Wellbeing,13
3715,Housing,14
3716,Legacies,15
3717,Living Landscapes,16
3718,Living Seas,17
3719,Marine,18
3720,Nature Reserve,19
3721,Partnerships,20
3722,Planning,21
3723,Species,22
3724,Trust News,23
3725,Visitor Centres,24
3726,Volunteering,25
3727,Water,26
3728,Wildlife,27
