tid,name,weight
3401,"Admin / Office-based",0
3402,"Catering",1
3403,"Cleaning",2
3404,"Communications",3
3405,"Digital",4
3406,"Ecology Groups",5
3407,"Education / Schools and Children",6
3408,"Finance",7
3409,"Fundraising",8
3410,"Gardening",9
3411,"Health and safety",10
3412,"Human Resources",11
3413,"IT",12
3414,"Livestock Management",13
3415,"Local Group",14
3416,"Management",15
3417,"Marketing",16
3418,"Outdoor Conservation",17
3419,"Receptionist",18
3420,"Retail",19
3421,"Surveying / Monitoring",20
3422,"Trustee",21
3423,"Visitor Centre",22
3424,"Volunteer Reserves Officer",23
3425,"Warden / Ranger",24
3426,"Wider Countryside",25
3427,"Work Party",26
3428,"Other",27
